#No.: ETA value [eV], spt, dt
No.102: 0.132049, 37.19999999999993, 13.0
No.103: 0.132258, 37.39999999999993, 13.0
No.104: 0.132541, 37.59999999999992, 13.0
No.105: 0.132712, 37.799999999999926, 13.0
No.106: 0.132932, 37.99999999999993, 13.0
No.107: 0.133173, 38.199999999999925, 13.0
No.108: 0.133408, 38.39999999999992, 13.0
No.109: 0.133576, 38.59999999999992, 13.0
No.110: 0.133779, 38.799999999999926, 13.0
No.111: 0.133929, 38.99999999999992, 13.0
No.112: 0.134109, 39.19999999999992, 13.0
No.113: 0.13431, 39.39999999999992, 13.0
No.114: 0.13431, 39.59999999999992, 13.0
No.115: 0.134592, 39.79999999999992, 13.0
No.116: 0.134771, 39.999999999999915, 13.0
No.117: 0.134892, 40.19999999999992, 13.0
No.118: 0.13502, 40.39999999999992, 13.0
No.119: 0.135141, 40.599999999999916, 13.0
No.120: 0.135141, 40.79999999999991, 13.0
No.121: 0.13534, 40.999999999999915, 13.0
No.122: 0.13549, 41.19999999999992, 13.0
No.123: 0.135563, 41.39999999999991, 13.0
No.124: 0.135694, 41.59999999999991, 13.0
No.125: 0.135763, 41.79999999999991, 13.0
No.126: 0.135853, 41.999999999999915, 13.0
No.127: 0.13595, 42.19999999999991, 13.0
No.128: 0.135981, 42.399999999999906, 13.0
No.129: 0.136027, 42.59999999999991, 13.0
No.130: 0.136105, 42.79999999999991, 13.0
No.131: 0.136186, 42.99999999999991, 13.0
No.132: 0.1362, 43.1999999999999, 13.0
No.133: 0.136303, 43.399999999999906, 13.0
No.134: 0.136298, 43.59999999999991, 13.0
No.135: 0.136329, 43.799999999999905, 13.0
No.136: 0.136384, 43.9999999999999, 13.0
No.137: 0.136412, 44.1999999999999, 13.0
No.138: 0.136451, 44.399999999999906, 13.0
No.139: 0.13648, 44.5999999999999, 13.0
No.140: 0.136466, 44.7999999999999, 13.0
No.141: 0.136461, 44.9999999999999, 13.0
No.142: 0.136472, 45.1999999999999, 13.0
No.143: 0.136509, 45.3999999999999, 13.0
No.144: 0.136481, 45.599999999999895, 13.0
No.145: 0.136464, 45.7999999999999, 13.0
No.146: 0.136487, 45.9999999999999, 13.0
No.147: 0.136497, 46.199999999999896, 13.0
No.148: 0.136422, 46.39999999999989, 13.0
No.149: 0.13638, 46.599999999999895, 13.0
No.150: 0.136371, 46.7999999999999, 13.0
No.151: 0.136363, 46.99999999999989, 13.0
No.152: 0.136335, 47.19999999999989, 13.0
No.153: 0.136275, 47.39999999999989, 13.0
No.154: 0.136181, 47.599999999999895, 13.0
No.155: 0.136154, 47.79999999999989, 13.0
No.156: 0.136073, 47.999999999999886, 13.0
No.157: 0.135969, 48.19999999999989, 13.0
No.158: 0.135894, 48.39999999999989, 13.0
No.159: 0.135894, 48.59999999999989, 13.0
No.160: 0.135744, 48.79999999999988, 13.0
No.161: 0.135623, 48.999999999999886, 13.0
No.162: 0.135464, 49.19999999999989, 13.0
No.163: 0.135342, 49.399999999999885, 13.0
No.164: 0.135196, 49.59999999999988, 13.0
No.165: 0.135004, 49.79999999999988, 13.0
No.166: 0.134852, 49.999999999999886, 13.0
No.167: 0.134671, 50.19999999999988, 13.0
No.168: 0.134471, 50.39999999999988, 13.0
No.169: 0.134271, 50.59999999999988, 13.0
No.170: 0.133991, 50.79999999999988, 13.0
No.171: 0.133741, 50.99999999999988, 13.0
No.172: 0.133449, 51.199999999999875, 13.0
No.173: 0.133212, 51.39999999999988, 13.0
No.174: 0.132886, 51.59999999999988, 13.0
No.175: 0.132541, 51.799999999999876, 13.0
No.176: 0.132178, 51.99999999999987, 13.0
No.177: 0.131747, 52.199999999999875, 13.0
No.178: 0.131372, 52.39999999999988, 13.0
No.179: 0.130947, 52.59999999999987, 13.0
No.180: 0.130462, 52.79999999999987, 13.0
No.181: 0.129937, 52.99999999999987, 13.0
No.182: 0.129431, 53.199999999999875, 13.0
No.183: 0.128895, 53.39999999999987, 13.0
No.184: 0.128255, 53.599999999999866, 13.0
No.185: 0.128255, 53.79999999999987, 13.0
No.186: 0.126996, 53.99999999999987, 13.0
No.187: 0.126247, 54.19999999999987, 13.0
No.188: 0.125564, 54.399999999999864, 13.0
No.189: 0.124749, 54.599999999999866, 13.0
No.190: 0.123908, 54.79999999999987, 13.0
No.191: 0.123067, 54.999999999999865, 13.0
No.192: 0.122181, 55.19999999999986, 13.0
No.193: 0.121277, 55.399999999999864, 13.0
No.194: 0.120245, 55.599999999999866, 13.0
No.195: 0.11919, 55.79999999999986, 13.0
No.196: 0.118125, 55.99999999999986, 13.0
No.197: 0.116999, 56.19999999999986, 13.0
No.198: 0.115827, 56.399999999999864, 13.0
No.199: 0.114581, 56.59999999999986, 13.0
No.200: 0.113272, 56.799999999999855, 13.0
No.201: 0.111905, 56.99999999999986, 13.0
No.202: 0.110507, 57.19999999999986, 13.0
No.203: 0.109044, 57.39999999999986, 13.0
No.204: 0.107564, 57.59999999999985, 13.0
No.205: 0.106252, 57.799999999999855, 13.0
No.206: 0.105071, 57.99999999999986, 13.0
