# V(Angstrom^3), Etot(Ry), La(Angstrom), dV(%)
      26.620640     -650.808605        2.985883 -20 
      28.617188     -650.814963        3.058738 -14 
      29.948220     -650.817536        3.105444 -10 
      30.613736     -650.818410        3.128279 -8 
      31.279252     -650.819049        3.150785 -6 
      31.944768     -650.819472        3.172974 -4 
      32.610284     -650.819699        3.194858 -2 
      32.943042     -650.819751        3.205688 -1 
      33.275800     -650.819755        3.216445 0 
      33.608558     -650.819722        3.227131 1 
      33.941316     -650.819647        3.237747 2 
      34.606832     -650.819393        3.258772 4 
      35.272348     -650.818999        3.279529 6 
      35.937864     -650.818469        3.300026 8 
      36.603380     -650.817821        3.320273 10 
      37.934412     -650.816188        3.360040 14 
      39.930960     -650.812984        3.417983 20 
      41.927508     -650.809021        3.474026 26 
