#No.: ETA value [eV], r0, sigma
No.1: 0.478727, 2.0, 2.0
No.2: 0.461267, 2.2, 2.0
No.3: 0.465499, 2.4000000000000004, 2.0
No.4: 0.487827, 2.6000000000000005, 2.0
No.5: 0.519947, 2.8000000000000007, 2.0
No.6: 0.551949, 3.000000000000001, 2.0
No.7: 0.581208, 3.200000000000001, 2.0
No.8: 0.60696, 3.4000000000000012, 2.0
No.9: 0.629263, 3.6000000000000014, 2.0
No.10: 0.64846, 3.8000000000000016, 2.0
No.11: 0.664875, 4.000000000000002, 2.0
No.12: 0.678962, 4.200000000000002, 2.0
No.13: 0.691216, 4.400000000000002, 2.0
No.14: 0.702023, 4.600000000000002, 2.0
No.15: 0.711609, 4.8000000000000025, 2.0
No.16: 0.720933, 5.000000000000003, 2.0
No.17: 0.729737, 5.200000000000003, 2.0
No.18: 0.738065, 5.400000000000003, 2.0
No.19: 0.745793, 5.600000000000003, 2.0
No.20: 0.75315, 5.800000000000003, 2.0
No.21: 0.760249, 6.0000000000000036, 2.0
No.22: 0.766949, 6.200000000000004, 2.0
No.23: 0.773666, 6.400000000000004, 2.0
No.24: 0.780429, 6.600000000000004, 2.0
No.25: 0.78673, 6.800000000000004, 2.0
No.26: 0.792817, 7.000000000000004, 2.0
No.27: 0.798467, 7.200000000000005, 2.0
No.28: 0.80372, 7.400000000000005, 2.0
No.29: 0.80871, 7.600000000000005, 2.0
No.30: 0.813423, 7.800000000000005, 2.0
No.31: 0.81783, 8.000000000000005, 2.0
No.32: 0.82197, 8.200000000000006, 2.0
No.33: 0.825937, 8.400000000000006, 2.0
No.34: 0.829678, 8.600000000000005, 2.0
No.35: 0.833265, 8.800000000000006, 2.0

No.36: 0.529827, 2.0, 3.0
No.37: 0.473638, 2.2, 3.0
No.38: 0.468931, 2.4000000000000004, 3.0
No.39: 0.515088, 2.6000000000000005, 3.0
No.40: 0.584327, 2.8000000000000007, 3.0
No.41: 0.639801, 3.000000000000001, 3.0
No.42: 0.68132, 3.200000000000001, 3.0
No.43: 0.712129, 3.4000000000000012, 3.0
No.44: 0.73494, 3.6000000000000014, 3.0
No.45: 0.751562, 3.8000000000000016, 3.0
No.46: 0.763682, 4.000000000000002, 3.0
No.47: 0.772553, 4.200000000000002, 3.0
No.48: 0.779297, 4.400000000000002, 3.0
No.49: 0.785133, 4.600000000000002, 3.0
No.50: 0.789907, 4.8000000000000025, 3.0
No.51: 0.793969, 5.000000000000003, 3.0
No.52: 0.798749, 5.200000000000003, 3.0
No.53: 0.805202, 5.400000000000003, 3.0
No.54: 0.81175, 5.600000000000003, 3.0
No.55: 0.818379, 5.800000000000003, 3.0
No.56: 0.825141, 6.0000000000000036, 3.0
No.57: 0.832466, 6.200000000000004, 3.0
No.58: 0.839323, 6.400000000000004, 3.0
No.59: 0.845477, 6.600000000000004, 3.0
No.60: 0.851255, 6.800000000000004, 3.0
No.61: 0.856514, 7.000000000000004, 3.0
No.62: 0.861316, 7.200000000000005, 3.0
No.63: 0.865761, 7.400000000000005, 3.0
No.64: 0.869779, 7.600000000000005, 3.0
No.65: 0.873351, 7.800000000000005, 3.0
No.66: 0.876587, 8.000000000000005, 3.0
No.67: 0.879683, 8.200000000000006, 3.0
No.68: 0.882471, 8.400000000000006, 3.0
No.69: 0.884951, 8.600000000000005, 3.0
No.70: 0.887262, 8.800000000000006, 3.0

No.71: 0.584089, 2.0, 4.0
No.72: 0.492074, 2.2, 4.0
No.73: 0.490681, 2.4000000000000004, 4.0
No.74: 0.585049, 2.6000000000000005, 4.0
No.75: 0.664445, 2.8000000000000007, 4.0
No.76: 0.725681, 3.000000000000001, 4.0
No.77: 0.767357, 3.200000000000001, 4.0
No.78: 0.794801, 3.4000000000000012, 4.0
No.79: 0.812331, 3.6000000000000014, 4.0
No.80: 0.82278, 3.8000000000000016, 4.0
No.81: 0.828282, 4.000000000000002, 4.0
No.82: 0.831493, 4.200000000000002, 4.0
No.83: 0.833835, 4.400000000000002, 4.0
No.84: 0.835013, 4.600000000000002, 4.0
No.85: 0.835354, 4.8000000000000025, 4.0
No.86: 0.836812, 5.000000000000003, 4.0
No.87: 0.841667, 5.200000000000003, 4.0
No.88: 0.847547, 5.400000000000003, 4.0
No.89: 0.854004, 5.600000000000003, 4.0
No.90: 0.861671, 5.800000000000003, 4.0
No.91: 0.868717, 6.0000000000000036, 4.0
No.92: 0.875194, 6.200000000000004, 4.0
No.93: 0.880894, 6.400000000000004, 4.0
No.94: 0.886021, 6.600000000000004, 4.0
No.95: 0.890437, 6.800000000000004, 4.0
No.96: 0.894174, 7.000000000000004, 4.0
No.97: 0.897602, 7.200000000000005, 4.0
No.98: 0.900486, 7.400000000000005, 4.0
No.99: 0.902862, 7.600000000000005, 4.0
No.100: 0.904827, 7.800000000000005, 4.0
No.101: 0.906549, 8.000000000000005, 4.0
No.102: 0.907915, 8.200000000000006, 4.0
No.103: 0.909109, 8.400000000000006, 4.0
No.104: 0.910081, 8.600000000000005, 4.0
No.105: 0.910852, 8.800000000000006, 4.0

No.106: 0.632895, 2.0, 5.0
No.107: 0.514024, 2.2, 5.0
No.108: 0.513919, 2.4000000000000004, 5.0
No.109: 0.634157, 2.6000000000000005, 5.0
No.110: 0.725801, 2.8000000000000007, 5.0
No.111: 0.790246, 3.000000000000001, 5.0
No.112: 0.830813, 3.200000000000001, 5.0
No.113: 0.853605, 3.4000000000000012, 5.0
No.114: 0.8646, 3.6000000000000014, 5.0
No.115: 0.86815, 3.8000000000000016, 5.0
No.116: 0.86795, 4.000000000000002, 5.0
No.117: 0.866772, 4.200000000000002, 5.0
No.118: 0.864857, 4.400000000000002, 5.0
No.119: 0.86204, 4.600000000000002, 5.0
No.120: 0.860626, 4.8000000000000025, 5.0
No.121: 0.864563, 5.000000000000003, 5.0
No.122: 0.869605, 5.200000000000003, 5.0
No.123: 0.875993, 5.400000000000003, 5.0
No.124: 0.883579, 5.600000000000003, 5.0
No.125: 0.890351, 5.800000000000003, 5.0
No.126: 0.896279, 6.0000000000000036, 5.0
No.127: 0.901517, 6.200000000000004, 5.0
No.128: 0.905835, 6.400000000000004, 5.0
No.129: 0.909536, 6.600000000000004, 5.0
No.130: 0.912527, 6.800000000000004, 5.0
No.131: 0.914753, 7.000000000000004, 5.0
No.132: 0.916488, 7.200000000000005, 5.0
No.133: 0.917787, 7.400000000000005, 5.0
No.134: 0.918746, 7.600000000000005, 5.0
No.135: 0.919331, 7.800000000000005, 5.0
No.136: 0.919583, 8.000000000000005, 5.0
No.137: 0.919673, 8.200000000000006, 5.0
No.138: 0.919634, 8.400000000000006, 5.0
No.139: 0.919492, 8.600000000000005, 5.0
No.140: 0.91931, 8.800000000000006, 5.0

No.141: 0.668475, 2.0, 6.0
No.142: 0.534061, 2.2, 6.0
No.143: 0.52805, 2.4000000000000004, 6.0
No.144: 0.661069, 2.6000000000000005, 6.0
No.145: 0.7639, 2.8000000000000007, 6.0
No.146: 0.834501, 3.000000000000001, 6.0
No.147: 0.876084, 3.200000000000001, 6.0
No.148: 0.89573, 3.4000000000000012, 6.0
No.149: 0.900998, 3.6000000000000014, 6.0
No.150: 0.897945, 3.8000000000000016, 6.0
No.151: 0.893177, 4.000000000000002, 6.0
No.152: 0.887666, 4.200000000000002, 6.0
No.153: 0.882141, 4.400000000000002, 6.0
No.154: 0.877178, 4.600000000000002, 6.0
No.155: 0.879414, 4.8000000000000025, 6.0
No.156: 0.88386, 5.000000000000003, 6.0
No.157: 0.889469, 5.200000000000003, 6.0
No.158: 0.896691, 5.400000000000003, 6.0
No.159: 0.903064, 5.600000000000003, 6.0
No.160: 0.908558, 5.800000000000003, 6.0
No.161: 0.913297, 6.0000000000000036, 6.0
No.162: 0.917105, 6.200000000000004, 6.0
No.163: 0.920166, 6.400000000000004, 6.0
No.164: 0.922399, 6.600000000000004, 6.0
No.165: 0.923995, 6.800000000000004, 6.0
No.166: 0.92515, 7.000000000000004, 6.0
No.167: 0.925792, 7.200000000000005, 6.0
No.168: 0.925942, 7.400000000000005, 6.0
No.169: 0.925748, 7.600000000000005, 6.0
No.170: 0.925351, 7.800000000000005, 6.0
No.171: 0.924762, 8.000000000000005, 6.0
No.172: 0.924156, 8.200000000000006, 6.0
No.173: 0.923461, 8.400000000000006, 6.0
No.174: 0.922777, 8.600000000000005, 6.0
No.175: 0.92209, 8.800000000000006, 6.0

No.176: 0.697212, 2.0, 7.0
No.177: 0.543626, 2.2, 7.0
No.178: 0.534002, 2.4000000000000004, 7.0
No.179: 0.671207, 2.6000000000000005, 7.0
No.180: 0.780974, 2.8000000000000007, 7.0
No.181: 0.859188, 3.000000000000001, 7.0
No.182: 0.90564, 3.200000000000001, 7.0
No.183: 0.925912, 3.4000000000000012, 7.0
No.184: 0.928208, 3.6000000000000014, 7.0
No.185: 0.920252, 3.8000000000000016, 7.0
No.186: 0.910736, 4.000000000000002, 7.0
No.187: 0.900865, 4.200000000000002, 7.0
No.188: 0.89204, 4.400000000000002, 7.0
No.189: 0.888023, 4.600000000000002, 7.0
No.190: 0.892455, 4.8000000000000025, 7.0
No.191: 0.897795, 5.000000000000003, 7.0
No.192: 0.904683, 5.200000000000003, 7.0
No.193: 0.910886, 5.400000000000003, 7.0
No.194: 0.916077, 5.600000000000003, 7.0
No.195: 0.920284, 5.800000000000003, 7.0
No.196: 0.923519, 6.0000000000000036, 7.0
