# V(Angstrom^3), Etot(Ry), La(Angstrom), dV(%)
      29.369200     -458.180849        3.085300 -20 
      31.571890     -458.187215        3.160581 -14 
      33.040350     -458.189816        3.208841 -10 
      33.774580     -458.190741        3.232436 -8 
      34.508810     -458.191435        3.255692 -6 
      35.243040     -458.191917        3.278620 -4 
      35.977270     -458.192202        3.301232 -2 
      36.344385     -458.192276        3.312423 -1 
      36.711500     -458.192306        3.323538 0 
      37.078615     -458.192293        3.334580 1 
      37.445730     -458.192240        3.345549 2 
      38.179960     -458.192019        3.367274 4 
      38.914190     -458.191655        3.388722 6 
      39.648420     -458.191161        3.409903 8 
      40.382650     -458.190547        3.430823 10 
      41.851110     -458.189005        3.471914 14 
      44.053800     -458.186043        3.531787 20 
      46.256490     -458.182486        3.589695 26 
