#No.: ETA [eV], sigma_den, r0_den, simga_s, r0_s, sigma_p, r0_p, sigma_d, r0_d, stos(y1s), stos(y2s), stos(y3s), stop(y1p), stop(y2p), stop(y3p), stod(y1d), stod(y2d), stod(y3d), sdt, sdt3kbt 
#| iter | 1/target | x0 | x1 | x2 | x3 | x4 | x5 | x6 | x7 | x8 | x9 | x10 | x11 | x12 | x13 | x14 | x15 | x16 | SDT | SDT(3kbT) |
No.11: 9.999, 6.8, 28.7, 6.4, 5.0, 5.5, 6.7, 4.8, 4.7, 1.14, 1.69, 5.43, 0.85, 2.27, 6.05, 3.10, 4.80, 8.36, 9.999, 9.999
No.12: 9.999, 11.6, 16.4, 4.5, 3.7, 7.7, 7.5, 9.4, 5.9, 1.22, 2.41, 6.73, 0.77, 1.48, 6.02, 3.31, 7.57, 16.24, 9.999, 9.999
No.13: 9.999, 7.9, 15.4, 5.1, 3.3, 7.1, 3.7, 9.4, 7.0, 0.60, 1.66, 5.52, 0.97, 2.87, 6.71, 2.54, 7.81, 9.34, 9.999, 9.999
No.14: 9.999, 7.0, 5.9, 6.8, 4.7, 8.6, 4.8, 7.0, 6.1, 0.60, 2.34, 6.30, 0.83, 2.89, 5.44, 3.53, 7.30, 15.99, 9.999, 9.999
No.15: 9.999, 8.6, 23.9, 6.6, 5.1, 9.2, 3.6, 9.5, 5.1, 1.26, 2.35, 4.42, 1.21, 2.31, 3.93, 3.34, 6.30, 8.24, 9.999, 9.999
No.16: 0.35539, 14.5, 17.7, 8.9, 4.0, 7.9, 5.4, 6.4, 5.3, 0.87, 1.89, 5.61, 0.79, 2.33, 6.07, 3.48, 6.91, 14.11, 0.215422, 2.58519
No.17: 0.361373, 11.4, 13.9, 9.1, 5.1, 5.9, 4.6, 8.9, 5.8, 1.14, 2.30, 6.92, 1.06, 1.70, 4.85, 2.44, 7.09, 15.76, 0.326916, 2.58519
No.18: 9.999, 13.0, 16.3, 9.6, 3.5, 8.7, 7.2, 8.0, 5.9, 0.70, 2.13, 6.15, 0.98, 2.13, 4.53, 1.88, 5.29, 8.48, 9.999, 9.999
No.19: 0.352097, 7.2, 8.4, 7.0, 5.3, 5.5, 4.6, 8.9, 5.3, 1.02, 1.76, 5.48, 0.81, 2.86, 6.68, 2.26, 4.14, 9.51, 0.289786, 2.58519
No.20: 9.999, 3.6, 16.2, 5.6, 4.6, 8.5, 3.7, 6.1, 7.2, 1.17, 2.25, 5.04, 0.70, 2.38, 5.29, 3.07, 4.29, 14.59, 9.999, 9.999
No.21: 9.999, 15.0, 27.7, 4.6, 5.4, 8.3, 4.7, 5.8, 6.2, 0.83, 2.66, 6.36, 1.18, 1.54, 5.70, 3.17, 6.29, 15.03, 9.999, 9.999
No.22: 0.42739, 8.7, 23.3, 9.6, 4.7, 7.2, 4.1, 6.3, 3.7, 0.70, 2.58, 6.98, 0.80, 1.61, 6.65, 2.84, 7.86, 13.55, 0.383573, 2.58519
No.23: 0.421439, 2.5, 12.2, 5.5, 3.7, 5.8, 6.7, 6.8, 3.8, 0.94, 1.72, 6.50, 1.07, 2.49, 3.95, 2.64, 6.17, 16.76, 0.278148, 2.58519
No.24: 9.999, 14.0, 10.4, 9.4, 5.6, 4.6, 6.5, 6.9, 7.5, 0.74, 1.81, 3.34, 1.00, 2.74, 4.67, 3.26, 5.86, 12.68, 9.999, 9.999
No.25: 9.999, 3.3, 13.9, 6.7, 5.6, 7.7, 4.2, 4.9, 3.7, 0.64, 2.12, 3.64, 1.03, 2.67, 5.87, 3.30, 5.14, 15.45, 9.999, 9.999
No.26: 9.999, 3.8, 3.2, 8.6, 4.2, 9.1, 3.7, 8.5, 4.1, 1.02, 1.40, 6.09, 0.86, 2.58, 4.94, 2.65, 5.72, 12.07, 9.999, 9.999
No.27: 9.999, 10.1, 2.5, 7.7, 5.9, 9.6, 6.5, 8.3, 7.3, 0.87, 1.78, 6.83, 1.21, 2.66, 6.70, 2.03, 4.34, 9.46, 9.999, 9.999
No.28: 9.999, 4.7, 5.6, 7.2, 3.9, 9.2, 5.1, 6.7, 5.7, 1.24, 1.43, 6.31, 0.69, 1.80, 6.33, 2.37, 7.89, 10.18, 9.999, 9.999
No.29: 9.999, 12.8, 26.2, 7.7, 3.9, 4.5, 6.0, 6.1, 5.7, 1.22, 2.07, 3.33, 0.95, 1.90, 6.49, 2.87, 6.63, 11.88, 9.999, 9.999
No.30: 9.999, 5.8, 12.3, 6.1, 3.5, 7.6, 5.3, 8.7, 4.3, 1.07, 1.77, 6.76, 1.24, 2.74, 6.72, 2.20, 4.04, 9.82, 9.999, 9.999
No.31: 9.999, 10.7, 11.7, 9.6, 5.6, 7.5, 7.6, 9.1, 6.0, 0.61, 1.53, 3.45, 0.75, 2.45, 5.11, 2.79, 4.42, 12.95, 9.999, 9.999
No.32: 9.999, 3.0, 14.5, 7.9, 4.5, 4.5, 5.0, 7.0, 6.6, 0.91, 2.12, 4.65, 1.26, 1.65, 6.92, 3.30, 7.21, 13.51, 9.999, 9.999
No.33: 9.999, 4.1, 2.7, 6.9, 3.3, 6.1, 5.7, 8.0, 6.8, 0.68, 1.42, 6.10, 0.81, 2.97, 4.07, 2.43, 5.92, 14.63, 9.999, 9.999
No.34: 9.999, 9.8, 24.0, 7.0, 5.7, 8.8, 6.3, 7.9, 6.0, 0.78, 2.28, 3.28, 1.05, 2.49, 4.93, 3.60, 6.44, 7.80, 9.999, 9.999
No.35: 9.999, 12.1, 11.8, 6.3, 3.6, 8.4, 4.9, 8.3, 6.7, 0.74, 1.72, 6.47, 0.73, 2.58, 4.33, 3.31, 5.50, 15.11, 9.999, 9.999
No.36: 9.999, 5.0, 6.2, 5.5, 5.9, 8.1, 5.9, 6.0, 7.0, 0.89, 2.87, 4.66, 0.61, 1.56, 5.79, 3.37, 4.01, 9.86, 9.999, 9.999
No.37: 9.999, 12.6, 15.2, 8.2, 3.5, 7.8, 6.7, 5.6, 6.1, 1.11, 2.41, 3.71, 1.26, 1.64, 4.00, 2.61, 5.40, 9.09, 9.999, 9.999
No.38: 9.999, 11.0, 10.3, 6.5, 3.9, 4.9, 7.3, 6.4, 5.8, 0.93, 1.59, 6.00, 1.24, 2.06, 6.19, 1.85, 7.26, 9.50, 9.999, 9.999
No.39: 9.999, 5.1, 4.5, 5.4, 4.8, 4.7, 6.8, 5.4, 5.8, 1.10, 1.62, 5.16, 0.77, 1.95, 3.64, 3.34, 4.12, 16.73, 9.999, 9.999
No.40: 1.446276, 10.3, 8.2, 6.5, 5.4, 8.2, 7.7, 5.9, 3.6, 1.23, 2.76, 6.11, 1.09, 1.66, 6.50, 1.78, 7.36, 12.84, 2.855773, 2.58519
No.41: 9.999, 13.0, 16.2, 8.1, 2.9, 8.5, 7.3, 5.7, 4.1, 0.74, 1.87, 5.91, 1.13, 1.98, 6.15, 3.27, 6.30, 11.41, 9.999, 9.999
No.42: 0.341332, 15.3, 16.9, 8.7, 4.3, 6.3, 6.4, 5.6, 5.5, 0.81, 2.39, 4.32, 0.69, 1.85, 5.56, 2.40, 5.63, 11.80, 0.198326, 2.58519
No.43: 9.999, 15.2, 14.4, 8.4, 4.6, 7.0, 7.1, 4.8, 6.0, 1.24, 2.21, 6.20, 0.91, 2.44, 3.73, 2.62, 7.57, 13.27, 9.999, 9.999
No.44: 9.999, 5.0, 25.0, 9.6, 3.1, 6.1, 7.5, 4.5, 7.0, 1.18, 2.09, 4.18, 1.07, 2.25, 6.83, 3.01, 7.27, 7.83, 9.999, 9.999
No.45: 9.999, 5.9, 23.8, 8.0, 4.2, 7.1, 4.4, 9.5, 4.8, 0.66, 1.61, 5.04, 0.68, 2.88, 6.63, 2.74, 7.35, 11.56, 9.999, 9.999
No.46: 0.386726, 2.3, 21.5, 7.8, 3.5, 6.1, 4.3, 6.6, 4.6, 0.87, 2.95, 5.37, 1.14, 2.20, 6.23, 3.15, 7.01, 11.45, 0.319166, 2.58519
No.47: 0.466788, 6.9, 28.6, 6.3, 4.0, 8.1, 4.7, 8.6, 4.8, 0.97, 2.17, 5.64, 0.85, 2.76, 5.58, 2.25, 7.07, 11.69, 0.31123, 2.58519
No.48: 9.999, 14.9, 26.1, 8.0, 3.6, 4.5, 5.3, 9.3, 5.0, 1.13, 1.66, 3.93, 0.99, 2.83, 4.92, 3.61, 4.86, 13.30, 9.999, 9.999
No.49: 9.999, 7.2, 6.3, 6.4, 4.1, 4.8, 6.2, 8.1, 6.1, 1.04, 1.65, 5.95, 1.07, 2.49, 4.19, 3.15, 4.64, 11.62, 9.999, 9.999
