#No.: ETA [eV], sigma_den, r0_den, simga_s, r0_s, sigma_p, r0_p, sigma_d, r0_d, stos(y1s), stos(y2s), stos(y3s), stop(y1p), stop(y2p), stop(y3p), stod(y1d), stod(y2d), stod(y3d), sdt, sdt3kbt 
#| iter | 1/target | x0 | x1 | x2 | x3 | x4 | x5 | x6 | x7 | x8 | x9 | x10 | x11 | x12 | x13 | x14 | x15 | x16 | SDT | SDT(3kbT) |
No.123: 9.999, 10.4, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.85, 4.04, 0.70, 1.55, 4.97, 2.05, 5.79, 14.23, 9.999, 9.999
No.124: 0.12565, 10.6, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.83, 4.03, 0.70, 1.55, 4.95, 2.07, 5.79, 14.30, 0.164711, 2.58519
No.125: 0.126948, 10.7, 6.3, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.91, 1.83, 4.02, 0.71, 1.55, 4.96, 2.07, 5.79, 14.32, 0.164103, 2.58519
No.126: 0.125635, 10.6, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.70, 1.54, 4.94, 2.07, 5.81, 14.33, 0.164659, 2.58519
No.127: 0.126977, 10.7, 6.3, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.83, 4.03, 0.70, 1.55, 4.94, 2.07, 5.82, 14.31, 0.164062, 2.58519
No.128: 0.125677, 10.6, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.83, 4.01, 0.71, 1.55, 4.95, 2.07, 5.82, 14.29, 0.165902, 2.58519
No.129: 0.125669, 10.6, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.02, 0.70, 1.54, 4.94, 2.07, 5.81, 14.33, 0.164662, 2.58519
No.130: 0.125625, 10.6, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.02, 0.71, 1.55, 4.94, 2.07, 5.82, 14.35, 0.164717, 2.58519
No.131: 0.126781, 10.6, 6.3, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.03, 0.71, 1.55, 4.95, 2.06, 5.83, 14.37, 0.164113, 2.58519
No.132: 0.12566, 10.6, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.03, 0.71, 1.54, 4.95, 2.06, 5.83, 14.33, 0.165861, 2.58519
No.133: 0.12561, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.55, 4.95, 2.07, 5.81, 14.36, 0.164758, 2.58519
No.134: 0.125755, 10.5, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.83, 4.02, 0.71, 1.55, 4.96, 2.07, 5.82, 14.34, 0.16596, 2.58519
No.135: 0.125675, 10.6, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.83, 4.02, 0.71, 1.54, 4.95, 2.07, 5.81, 14.38, 0.1659, 2.58519
No.136: 0.125605, 10.6, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.94, 2.07, 5.82, 14.35, 0.164693, 2.58519
No.137: 0.125623, 10.6, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.82, 14.34, 0.164702, 2.58519
No.138: 0.125696, 10.5, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.55, 4.94, 2.07, 5.82, 14.36, 0.165919, 2.58519
No.139: 0.125653, 10.6, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.55, 4.95, 2.07, 5.81, 14.36, 0.165864, 2.58519
No.140: 0.12569, 10.5, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.165919, 2.58519
No.141: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.142: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.143: 0.125623, 10.6, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.35, 0.164702, 2.58519
No.144: 0.125626, 10.6, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.82, 14.34, 0.164703, 2.58519
No.145: 0.125662, 10.5, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.94, 2.07, 5.82, 14.35, 0.165916, 2.58519
No.146: 0.125592, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164701, 2.58519
No.147: 0.12569, 10.5, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.82, 14.35, 0.165919, 2.58519
No.148: 0.125669, 10.6, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.165879, 2.58519
No.149: 0.125626, 10.6, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.81, 14.35, 0.164703, 2.58519
No.150: 0.125673, 10.5, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.94, 2.07, 5.81, 14.34, 0.165915, 2.58519
No.151: 0.125592, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164701, 2.58519
No.152: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.35, 0.164715, 2.58519
No.153: 0.125669, 10.6, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.35, 0.165879, 2.58519
No.154: 0.125592, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164701, 2.58519
No.155: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.156: 0.125592, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164701, 2.58519
No.157: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.158: 0.125623, 10.6, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164702, 2.58519
No.159: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.35, 0.164715, 2.58519
No.160: 0.125684, 10.5, 6.1, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.165918, 2.58519
No.161: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.35, 0.164715, 2.58519
No.162: 0.125592, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164701, 2.58519
No.163: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.164: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.165: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.166: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.167: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.168: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.169: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.170: 0.125592, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164701, 2.58519
No.171: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.172: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.173: 0.125592, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164701, 2.58519
No.174: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.175: 0.125592, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164701, 2.58519
No.176: 0.125592, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.00, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164701, 2.58519
No.177: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.178: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.179: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.180: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.181: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.182: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.183: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.184: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.185: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.186: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.187: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.188: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.189: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.190: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.191: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.192: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.193: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.194: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.195: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.196: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.197: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.198: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.199: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.200: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.201: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.202: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.203: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.204: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.205: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.206: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.207: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.208: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.209: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.210: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.211: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.212: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.213: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.214: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.215: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.216: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.217: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.218: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.219: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.220: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.221: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.222: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.223: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.224: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.225: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.226: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.227: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.228: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.229: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.230: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.231: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.232: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.233: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.234: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.235: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.236: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.237: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.238: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.239: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.240: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.241: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.242: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.243: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.244: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.245: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.246: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.247: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.248: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.249: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
No.250: 0.125585, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.01, 0.71, 1.54, 4.95, 2.07, 5.81, 14.34, 0.164715, 2.58519
