#No.: ETA value [eV], r0, sigma
No.149: 0.118685, 8.0, 6.0
No.150: 0.120401, 9.0, 6.0
No.151: 0.121497, 10.0, 6.0
No.152: 0.122462, 11.0, 6.0
No.153: 0.123145, 12.0, 6.0
No.154: 0.123584, 13.0, 6.0
No.155: 0.123795, 14.0, 6.0
No.156: 0.123937, 15.0, 6.0
No.157: 0.124047, 16.0, 6.0
No.158: 0.124102, 17.0, 6.0
No.159: 0.124145, 18.0, 6.0
No.160: 0.124174, 19.0, 6.0
No.161: 0.124185, 20.0, 6.0
No.162: 0.124187, 21.0, 6.0
No.163: 0.124201, 22.0, 6.0
No.164: 0.124215, 23.0, 6.0
No.165: 0.124224, 24.0, 6.0
No.166: 0.124228, 25.0, 6.0
No.167: 0.124237, 26.0, 6.0
No.168: 0.124239, 27.0, 6.0
No.169: 0.124239, 28.0, 6.0
No.170: 0.124239, 29.0, 6.0
No.171: 99999.999, 30.0, 6.0
No.172: 0.124244, 31.0, 6.0
No.173: 0.124244, 32.0, 6.0
No.174: 0.124244, 33.0, 6.0
No.175: 0.124244, 34.0, 6.0
No.176: 0.124244, 35.0, 6.0
No.177: 0.124244, 36.0, 6.0
No.178: 0.124244, 37.0, 6.0
No.179: 0.124244, 38.0, 6.0
No.180: 0.124244, 39.0, 6.0

No.181: 0.388192, 4.0, 7.0
No.182: 0.21501, 5.0, 7.0
No.183: 0.126769, 6.0, 7.0
No.184: 0.118143, 7.0, 7.0
No.185: 0.120187, 8.0, 7.0
No.186: 0.12169, 9.0, 7.0
No.187: 0.122777, 10.0, 7.0
No.188: 0.123477, 11.0, 7.0
No.189: 0.123827, 12.0, 7.0
No.190: 0.123986, 13.0, 7.0
No.191: 0.1241, 14.0, 7.0
No.192: 0.124165, 15.0, 7.0
No.193: 0.124185, 16.0, 7.0
No.194: 0.124187, 17.0, 7.0
No.195: 0.124212, 18.0, 7.0
No.196: 0.124228, 19.0, 7.0
No.197: 0.124235, 20.0, 7.0
No.198: 0.124239, 21.0, 7.0
No.199: 0.124239, 22.0, 7.0
No.200: 0.124242, 23.0, 7.0
No.201: 0.124244, 24.0, 7.0
No.202: 0.124244, 25.0, 7.0
No.203: 0.124244, 26.0, 7.0
No.204: 0.124244, 27.0, 7.0
No.205: 0.124244, 28.0, 7.0
No.206: 0.124244, 29.0, 7.0
No.207: 0.124244, 30.0, 7.0
No.208: 0.124244, 31.0, 7.0
No.209: 0.124244, 32.0, 7.0
No.210: 0.124244, 33.0, 7.0
No.211: 0.124244, 34.0, 7.0
No.212: 0.124246, 35.0, 7.0
No.213: 0.124246, 36.0, 7.0
No.214: 0.124244, 37.0, 7.0
No.215: 0.124244, 38.0, 7.0
No.216: 0.124244, 39.0, 7.0

No.217: 0.38427, 4.0, 8.0
No.218: 0.202736, 5.0, 8.0
No.219: 0.120944, 6.0, 8.0
No.220: 0.118886, 7.0, 8.0
No.221: 0.121159, 8.0, 8.0
No.222: 0.122714, 9.0, 8.0
No.223: 0.123584, 10.0, 8.0
No.224: 0.123923, 11.0, 8.0
No.225: 0.124077, 12.0, 8.0
No.226: 0.124165, 13.0, 8.0
No.227: 0.124187, 14.0, 8.0
No.228: 0.12421, 15.0, 8.0
No.229: 0.124228, 16.0, 8.0
No.230: 0.124237, 17.0, 8.0
No.231: 0.124239, 18.0, 8.0
No.232: 0.124242, 19.0, 8.0
No.233: 0.124244, 20.0, 8.0
No.234: 0.124244, 21.0, 8.0
No.235: 0.124244, 22.0, 8.0
No.236: 0.124244, 23.0, 8.0
No.237: 0.124244, 24.0, 8.0
No.238: 0.124244, 25.0, 8.0
No.239: 0.124244, 26.0, 8.0
No.240: 0.124244, 27.0, 8.0
No.241: 0.124244, 28.0, 8.0
No.242: 0.124244, 29.0, 8.0
No.243: 0.124244, 30.0, 8.0
No.244: 0.124246, 31.0, 8.0
No.245: 0.124244, 32.0, 8.0
No.246: 0.124244, 33.0, 8.0
No.247: 0.124244, 34.0, 8.0
No.248: 0.124244, 35.0, 8.0
No.249: 0.124244, 36.0, 8.0
No.250: 0.124244, 37.0, 8.0
No.251: 0.124244, 38.0, 8.0
No.252: 0.124244, 39.0, 8.0

No.253: 0.382626, 4.0, 9.0
No.254: 0.194846, 5.0, 9.0
No.255: 0.118657, 6.0, 9.0
No.256: 0.119923, 7.0, 9.0
No.257: 0.122087, 8.0, 9.0
No.258: 0.123395, 9.0, 9.0
No.259: 0.123914, 10.0, 9.0
No.260: 0.1241, 11.0, 9.0
No.261: 0.124174, 12.0, 9.0
No.262: 0.124201, 13.0, 9.0
No.263: 0.124228, 14.0, 9.0
No.264: 0.124237, 15.0, 9.0
No.265: 0.124239, 16.0, 9.0
No.266: 0.124244, 17.0, 9.0
No.267: 0.124244, 18.0, 9.0
No.268: 0.124244, 19.0, 9.0
No.269: 0.124244, 20.0, 9.0
No.270: 0.124244, 21.0, 9.0
No.271: 0.124246, 22.0, 9.0
No.272: 0.124244, 23.0, 9.0
No.273: 0.124244, 24.0, 9.0
No.274: 0.124244, 25.0, 9.0
No.275: 0.124244, 26.0, 9.0
No.276: 0.124246, 27.0, 9.0
No.277: 0.124246, 28.0, 9.0
No.278: 0.124246, 29.0, 9.0
No.279: 0.124244, 30.0, 9.0
No.280: 0.124244, 31.0, 9.0
