# V(Angstrom^3), Etot(Ry), La(Angstrom), dV(%)
      27.251037     -571.971366        3.009269 -20 
      29.294865     -571.977306        3.082695 -14 
      30.657416     -571.979765        3.129766 -10 
      31.338692     -571.980624        3.152780 -8 
      32.019968     -571.981256        3.175462 -6 
      32.701244     -571.981670        3.197825 -4 
      33.382520     -571.981911        3.219880 -2 
      33.723158     -571.981970        3.230795 -1 
      34.063796     -571.981988        3.241637 0 
      34.404434     -571.981950        3.252406 1 
      34.745072     -571.981898        3.263105 2 
      35.426348     -571.981637        3.284295 4 
      36.107624     -571.981261        3.305214 6 
      36.788900     -571.980466        3.325873 8 
      37.470176     -571.979789        3.346277 10 
      38.832727     -571.978128        3.386356 14 
      40.876555     -571.975033        3.444753 20 
      42.920383     -571.971278        3.501234 26 
