#No.: ETA value [eV], r0, sigma
No.1: 0.37498, 5.0, 2.0
No.2: 0.312792, 6.0, 2.0
No.3: 0.266488, 7.0, 2.0
No.4: 0.2323, 8.0, 2.0
No.5: 0.206765, 9.0, 2.0
No.6: 0.187453, 10.0, 2.0
No.7: 0.173402, 11.0, 2.0
No.8: 0.165185, 12.0, 2.0
No.9: 0.159966, 13.0, 2.0
No.10: 0.157149, 14.0, 2.0
No.11: 0.155828, 15.0, 2.0
No.12: 0.155124, 16.0, 2.0
No.13: 0.15469, 17.0, 2.0
No.14: 0.154946, 18.0, 2.0
No.15: 0.155302, 19.0, 2.0
No.16: 0.155767, 20.0, 2.0
No.17: 0.156268, 21.0, 2.0
No.18: 0.156815, 22.0, 2.0
No.19: 0.15741, 23.0, 2.0
No.20: 0.157867, 24.0, 2.0
No.21: 0.158352, 25.0, 2.0
No.22: 0.158756, 26.0, 2.0
No.23: 0.159088, 27.0, 2.0
No.24: 0.159385, 28.0, 2.0
No.25: 0.159686, 29.0, 2.0
No.26: 0.159951, 30.0, 2.0
No.27: 0.160212, 31.0, 2.0
No.28: 0.160435, 32.0, 2.0
No.29: 0.160636, 33.0, 2.0
No.30: 0.160833, 34.0, 2.0
No.31: 0.160987, 35.0, 2.0
No.32: 0.161152, 36.0, 2.0
No.33: 0.161333, 37.0, 2.0
No.34: 0.161446, 38.0, 2.0
No.35: 0.161532, 39.0, 2.0

No.36: 0.3359, 5.0, 3.0
No.37: 0.257116, 6.0, 3.0
No.38: 0.205367, 7.0, 3.0
No.39: 0.173382, 8.0, 3.0
No.40: 0.159964, 9.0, 3.0
No.41: 0.156114, 10.0, 3.0
No.42: 0.155368, 11.0, 3.0
No.43: 0.156261, 12.0, 3.0
No.44: 0.1576, 13.0, 3.0
No.45: 0.158746, 14.0, 3.0
No.46: 0.159662, 15.0, 3.0
No.47: 0.160353, 16.0, 3.0
No.48: 0.160935, 17.0, 3.0
No.49: 0.161421, 18.0, 3.0
No.50: 0.161815, 19.0, 3.0
No.51: 0.162086, 20.0, 3.0
No.52: 0.162325, 21.0, 3.0
No.53: 0.162573, 22.0, 3.0
No.54: 0.162695, 23.0, 3.0
No.55: 0.162854, 24.0, 3.0
No.56: 0.162975, 25.0, 3.0
No.57: 0.163094, 26.0, 3.0
No.58: 0.16321, 27.0, 3.0
No.59: 0.163247, 28.0, 3.0
No.60: 0.163374, 29.0, 3.0
No.61: 0.163398, 30.0, 3.0
No.62: 0.16343, 31.0, 3.0
No.63: 0.163489, 32.0, 3.0
No.64: 0.163546, 33.0, 3.0
No.65: 0.163594, 34.0, 3.0
No.66: 0.163596, 35.0, 3.0
No.67: 0.163602, 36.0, 3.0
No.68: 0.163647, 37.0, 3.0
No.69: 0.163681, 38.0, 3.0
No.70: 0.163729, 39.0, 3.0

No.71: 0.298562, 5.0, 4.0
No.72: 0.212037, 6.0, 4.0
No.73: 0.167383, 7.0, 4.0
No.74: 0.156583, 8.0, 4.0
No.75: 0.156147, 9.0, 4.0
No.76: 0.158286, 10.0, 4.0
No.77: 0.159948, 11.0, 4.0
No.78: 0.161064, 12.0, 4.0
No.79: 0.161872, 13.0, 4.0
No.80: 0.162384, 14.0, 4.0
No.81: 0.162739, 15.0, 4.0
No.82: 0.163029, 16.0, 4.0
No.83: 0.163249, 17.0, 4.0
No.84: 0.163377, 18.0, 4.0
No.85: 0.163482, 19.0, 4.0
No.86: 0.163585, 20.0, 4.0
No.87: 0.163604, 21.0, 4.0
No.88: 0.163708, 22.0, 4.0
No.89: 0.163718, 23.0, 4.0
No.90: 0.163768, 24.0, 4.0
No.91: 0.163815, 25.0, 4.0
No.92: 0.163849, 26.0, 4.0
No.93: 0.163883, 27.0, 4.0
No.94: 0.163892, 28.0, 4.0
No.95: 0.16391, 29.0, 4.0
No.96: 0.163933, 30.0, 4.0
No.97: 0.163946, 31.0, 4.0
No.98: 0.163955, 32.0, 4.0
No.99: 0.163973, 33.0, 4.0
No.100: 0.163966, 34.0, 4.0
No.101: 0.163957, 35.0, 4.0
No.102: 0.16396, 36.0, 4.0
No.103: 0.163962, 37.0, 4.0
No.104: 0.16396, 38.0, 4.0
No.105: 0.163953, 39.0, 4.0

No.106: 0.268609, 5.0, 5.0
No.107: 0.18028, 6.0, 5.0
No.108: 0.157023, 7.0, 5.0
No.109: 0.157048, 8.0, 5.0
No.110: 0.159878, 9.0, 5.0
No.111: 0.161503, 10.0, 5.0
No.112: 0.162415, 11.0, 5.0
No.113: 0.162934, 12.0, 5.0
No.114: 0.163249, 13.0, 5.0
No.115: 0.163462, 14.0, 5.0
No.116: 0.163615, 15.0, 5.0
No.117: 0.163735, 16.0, 5.0
No.118: 0.163772, 17.0, 5.0
No.119: 0.16384, 18.0, 5.0
No.120: 0.163896, 19.0, 5.0
No.121: 0.163917, 20.0, 5.0
No.122: 0.163949, 21.0, 5.0
No.123: 0.163966, 22.0, 5.0
No.124: 0.16396, 23.0, 5.0
No.125: 0.163962, 24.0, 5.0
No.126: 0.163955, 25.0, 5.0
No.127: 0.163955, 26.0, 5.0
No.128: 0.163962, 27.0, 5.0
No.129: 0.163964, 28.0, 5.0
No.130: 0.163966, 29.0, 5.0
No.131: 0.163964, 30.0, 5.0
No.132: 0.163964, 31.0, 5.0
No.133: 0.163964, 32.0, 5.0
No.134: 0.163962, 33.0, 5.0
No.135: 0.163957, 34.0, 5.0
No.136: 0.163957, 35.0, 5.0
