# V(Angstrom^3), Etot(Ry), La(Angstrom), dV(%)
      27.480160     -542.185226        3.017679 -20 
      29.541172     -542.191407        3.091310 -14 
      30.915180     -542.193977        3.138513 -10 
      31.602184     -542.194867        3.161591 -8 
      32.289188     -542.195529        3.184337 -6 
      32.976192     -542.195980        3.206763 -4 
      33.663196     -542.196235        3.228879 -2 
      34.006698     -542.196296        3.239825 -1 
      34.350200     -542.196312        3.250696 0 
      34.693702     -542.196287        3.261496 1 
      35.037204     -542.196225        3.272225 2 
      35.724208     -542.195988        3.293474 4 
      36.411212     -542.195623        3.314452 6 
      37.098216     -542.195123        3.335168 8 
      37.785220     -542.194507        3.355629 10 
      39.159228     -542.192953        3.395820 14 
      41.220240     -542.189943        3.454380 20 
      43.281252     -542.186256        3.511020 26 
