#No.: ETA value [eV], r0, sigma
No.1: 1.037404, 2.0, 2.0
No.2: 0.899524, 2.1, 2.0
No.3: 0.754506, 2.2, 2.0
No.4: 0.635348, 2.3000000000000003, 2.0
No.5: 0.553553, 2.4000000000000004, 2.0
No.6: 0.500544, 2.5000000000000004, 2.0
No.7: 0.457217, 2.6000000000000005, 2.0
No.8: 0.421372, 2.7000000000000006, 2.0
No.9: 0.393329, 2.8000000000000007, 2.0
No.10: 0.370845, 2.900000000000001, 2.0
No.11: 0.352814, 3.000000000000001, 2.0
No.12: 0.337219, 3.100000000000001, 2.0
No.13: 0.322601, 3.200000000000001, 2.0
No.14: 0.309587, 3.300000000000001, 2.0
No.15: 0.297884, 3.4000000000000012, 2.0
No.16: 0.286936, 3.5000000000000013, 2.0
No.17: 0.277262, 3.6000000000000014, 2.0
No.18: 0.268258, 3.7000000000000015, 2.0
No.19: 0.260029, 3.8000000000000016, 2.0
No.20: 0.252456, 3.9000000000000017, 2.0
No.21: 0.245454, 4.000000000000002, 2.0
No.22: 0.241336, 4.100000000000001, 2.0
No.23: 0.239897, 4.200000000000002, 2.0
No.24: 0.239354, 4.3000000000000025, 2.0
No.25: 0.239669, 4.400000000000002, 2.0
No.26: 0.240434, 4.500000000000002, 2.0
No.27: 0.241656, 4.600000000000002, 2.0
No.28: 0.243391, 4.700000000000003, 2.0
No.29: 0.245369, 4.8000000000000025, 2.0
No.30: 0.245369, 4.900000000000002, 2.0
No.31: 0.250248, 5.000000000000003, 2.0
No.32: 0.251817, 5.100000000000003, 2.0
No.33: 0.244698, 5.200000000000003, 2.0
No.34: 0.238283, 5.3000000000000025, 2.0
No.35: 0.232722, 5.400000000000003, 2.0
No.36: 0.227625, 5.5000000000000036, 2.0
No.37: 0.223209, 5.600000000000003, 2.0
No.38: 0.219303, 5.700000000000003, 2.0
No.39: 0.21607, 5.800000000000003, 2.0
No.40: 0.213397, 5.900000000000004, 2.0
No.41: 0.211198, 6.0000000000000036, 2.0
No.42: 0.209423, 6.100000000000003, 2.0
No.43: 0.207904, 6.200000000000004, 2.0
No.44: 0.206731, 6.300000000000004, 2.0
No.45: 0.205985, 6.400000000000004, 2.0
No.46: 0.205564, 6.5000000000000036, 2.0
No.47: 0.205299, 6.600000000000004, 2.0
No.48: 0.205259, 6.700000000000005, 2.0
No.49: 0.205374, 6.800000000000004, 2.0
No.50: 0.205647, 6.900000000000004, 2.0
No.51: 0.206006, 7.000000000000004, 2.0
No.52: 0.206577, 7.100000000000005, 2.0
No.53: 0.207221, 7.200000000000005, 2.0
No.54: 0.207955, 7.300000000000004, 2.0
No.55: 0.208797, 7.400000000000005, 2.0
No.56: 0.209788, 7.500000000000005, 2.0
No.57: 0.210934, 7.600000000000005, 2.0
No.58: 0.212187, 7.700000000000005, 2.0
No.59: 0.213755, 7.800000000000005, 2.0
No.60: 0.215499, 7.900000000000006, 2.0
No.61: 0.21762, 8.000000000000005, 2.0
No.62: 0.220214, 8.100000000000005, 2.0
No.63: 0.223006, 8.200000000000006, 2.0
No.64: 0.225926, 8.300000000000006, 2.0
No.65: 0.228869, 8.400000000000006, 2.0
No.66: 0.231862, 8.500000000000005, 2.0
No.67: 0.234893, 8.600000000000005, 2.0
No.68: 0.237945, 8.700000000000006, 2.0
No.69: 0.241139, 8.800000000000006, 2.0
No.70: 0.244347, 8.900000000000006, 2.0

No.71: 1.258387, 2.0, 2.2
