# V(Angstrom^3), Etot(Ry), La(Angstrom), dV(%)
      27.847920     -527.648201        3.031081 -20 
      29.936514     -527.654306        3.105039 -14 
      31.328910     -527.656887        3.152452 -10 
      32.025108     -527.657765        3.175632 -8 
      32.721306     -527.658438        3.198479 -6 
      33.417504     -527.658899        3.221005 -4 
      34.113702     -527.659153        3.243219 -2 
      34.461801     -527.659217        3.254213 -1 
      34.809900     -527.659224        3.265133 0 
      35.157999     -527.659207        3.275981 1 
      35.506098     -527.659129        3.286757 2 
      36.202296     -527.658856        3.308101 4 
      36.898494     -527.658479        3.329172 6 
      37.594692     -527.657886        3.349980 8 
      38.290890     -527.657248        3.370532 10 
      39.683286     -527.655675        3.410902 14 
      41.771880     -527.652646        3.469722 20 
      43.860474     -527.648945        3.526613 26 
